,county,clid,hhid,resid,eatype,strat,hhsize,ctry_adq,padqnfitems,padqeduc,padqrent,padqegy,padqexp,padqfdcons,pl_abs,pl_food,pdeflator,weight,weight_pop,weight_adq
62,Mombasa,635.0,6.0,Urban,Urban,12,1,1.0,1504.6482,0.0,1111.1248,277.7812,6615.216,3721.6619,5995.902,2551.1006,1.0799867,2068.341375348451,2068.3413,2068.3413
63,Mombasa,635.0,7.0,Urban,Urban,12,1,1.0,1592.7032,0.0,1465.6779,390.84744,10985.334,7536.1055,5995.902,2551.1006,1.0234172,2068.341375348451,2068.3413,2068.3413
64,Mombasa,635.0,8.0,Urban,Urban,12,6,4.889999970793724,179.86838,942.6816,700.8391,380.29312,4240.3857,2036.7037,5995.902,2551.1006,0.9948197,2068.341375348451,12410.048,10114.189
65,Mombasa,653.0,1.0,Urban,Urban,12,1,1.0,4181.953,0.0,809.227,107.99879,9059.437,3960.2578,5995.902,2551.1006,1.1111236,771.890440988776,771.89044,771.89044
66,Mombasa,653.0,2.0,Urban,Urban,12,2,2.0,2154.6462,0.0,430.5397,236.79683,5296.0854,2474.1028,5995.902,2551.1006,1.1613331,771.890440988776,1543.7809,1543.7809
67,Mombasa,653.0,3.0,Urban,Urban,12,4,2.539999946951866,2650.0608,553.6878,252.97676,202.38141,7178.673,3519.5654,5995.902,2551.1006,1.0893908,771.890440988776,3087.5618,1960.6017
68,Mombasa,653.0,4.0,Urban,Urban,12,2,2.0,1692.4319,0.0,647.17444,369.05417,6378.49,3669.8298,5995.902,2551.1006,1.0838517,771.890440988776,1543.7809,1543.7809
69,Mombasa,653.0,5.0,Urban,Urban,12,6,5.649999976158142,2728.2576,1587.4025,535.7188,172.25006,9063.486,4039.8577,5995.902,2551.1006,1.048075,771.890440988776,4631.343,4361.181
70,Mombasa,653.0,6.0,Urban,Urban,12,2,1.649999976158142,2332.7085,884.56305,447.88,380.69803,6674.5303,2628.6802,5995.902,2551.1006,1.082541,771.890440988776,1543.7809,1273.6193
71,Mombasa,653.0,7.0,Urban,Urban,12,1,1.0,1484.4667,0.0,1220.428,569.5331,5722.6694,2448.2415,5995.902,2551.1006,1.229077,771.890440988776,771.89044,771.89044
72,Mombasa,653.0,8.0,Urban,Urban,12,4,3.299999952316284,1840.5796,87.65811,470.58884,184.94899,4645.074,2061.299,5995.902,2551.1006,1.0486102,771.890440988776,3087.5618,2547.2385
73,Mombasa,653.0,9.0,Urban,Urban,12,1,1.0,648.46234,0.0,890.33734,17.806747,7632.6587,6076.052,5995.902,2551.1006,1.1231698,771.890440988776,771.89044,771.89044
74,Mombasa,677.0,1.0,Urban,Urban,12,3,2.299999952316284,6311.968,38.977657,3507.9893,1169.3297,30919.098,19890.832,5995.902,2551.1006,1.1154662,691.1057789857159,2073.3174,1589.5432
75,Mombasa,677.0,2.0,Urban,Urban,12,2,2.0,2694.84,0.0,5760.7397,3056.1143,27373.664,15861.971,5995.902,2551.1006,1.0274485,691.1057789857159,1382.2115,1382.2115
76,Mombasa,677.0,3.0,Urban,Urban,12,7,5.889999970793724,4695.9404,496.48364,1041.5084,699.4999,10083.625,3150.193,5995.902,2551.1006,0.9788706,691.1057789857159,4837.74,4070.613
77,Mombasa,677.0,4.0,Urban,Urban,12,5,4.299999952316284,5333.2715,206.7491,2033.5977,630.9367,15598.763,7394.2075,5995.902,2551.1006,1.0292219,691.1057789857159,3455.5288,2971.755
78,Mombasa,677.0,5.0,Urban,Urban,12,7,5.889999970793724,9016.277,1340.0359,1637.5182,1465.5789,20992.863,7533.453,5995.902,2551.1006,1.0368085,691.1057789857159,4837.74,4070.613
79,Mombasa,677.0,6.0,Urban,Urban,12,4,4.0,8248.804,0.0,2713.7295,3183.3542,19507.055,5361.169,5995.902,2551.1006,1.0905405,691.1057789857159,2764.423,2764.423
80,Mombasa,677.0,7.0,Urban,Urban,12,5,3.539999946951866,4928.522,910.9431,2712.4856,664.559,17204.988,7988.479,5995.902,2551.1006,1.0414281,691.1057789857159,3455.5288,2446.5144
81,Mombasa,691.0,1.0,Urban,Urban,12,3,2.299999952316284,1349.3542,78.46523,495.56985,173.44946,4283.493,2186.6548,5995.902,2551.1006,0.87733865,510.3735816672421,1531.1207,1173.8593
82,Mombasa,691.0,2.0,Urban,Urban,12,1,1.0,625.9912,0.0,791.9944,48.401382,6724.2754,5257.888,5995.902,2551.1006,1.0330284,510.3735816672421,510.3736,510.3736
